nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,brasil_codigo,brasil,variavel_codigo,variavel,periodo,mes,secoes_e_atividades_industriais_cnae_2_0_codigo,secoes_e_atividades_industriais_cnae_2_0,periodo_numerico,data,base,fonte,codigo,grandes_categorias_economicas_codigo,grandes_categorias_economicas,ajuste_sazonal,serie
1,Brasil,30,Número-índice,8858937,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201711,novembro 2017,129314,1 Indústria geral,201711,2017-11-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,9125236,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201712,dezembro 2017,129314,1 Indústria geral,201712,2017-12-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8892362,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201801,janeiro 2018,129314,1 Indústria geral,201801,2018-01-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8864075,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201802,fevereiro 2018,129314,1 Indústria geral,201802,2018-02-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8968454,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201803,março 2018,129314,1 Indústria geral,201803,2018-03-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8994947,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201804,abril 2018,129314,1 Indústria geral,201804,2018-04-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8011818,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201805,maio 2018,129314,1 Indústria geral,201805,2018-05-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,9011017,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201806,junho 2018,129314,1 Indústria geral,201806,2018-06-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8976923,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201807,julho 2018,129314,1 Indústria geral,201807,2018-07-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
1,Brasil,30,Número-índice,8897861,1,Brasil,11600,PIMPF - Número-índice com ajuste sazonal (2012=100),201808,agosto 2018,129314,1 Indústria geral,201808,2018-08-01,Brasil - Produção industrial por setores,IBGE/SIDRA,8159,NA,NA,Ajustada sazonalmente,Brasil - Produção industrial - Ajustada sazonalmente
